32799,33201,34642,65535,0,16400,,
1716378279,26,-2163,2083,7353,31006,31709,33442,65535,0,15505,,
1716378281,28,-3205,1161,9712,31883,33514,35364,65535,0,16663,,
1716378283,31,-1169,388,10886,33243,35323,37136,65535,0,17779,,
1716378285,31,-10,1963,5066,29047,30211,31795,65535,0,14982,,
1716378287,37,-3699,2203,11005,34492,36131,38174,65535,0,17889,,
1716378289,30,-2124,632,5883,32250,33824,35626,65535,0,16841,,
1716378291,32,-506,1542,11648,37357,38781,40793,65535,0,19225,,
1716378293,35,-2065,1076,6606,40386,41780,43891,65535,0,20708,,
1716378295,38,-1170,1015,6529,48765,49752,52246,65535,0,24455,,
1716378297,41,-213,858,10811,55147,56802,59717,65535,0,28043,,
1716378299,43,227,2006,10557,56963,59323,62208,65535,0,29609,,
1716378301,46,-26,2328,6436,53090,57178,59403,65535,0,29534,,
1716378303,44,59,2113,10756,52575,57669,60210,65535,0,29885,,
1716378305,41,-1626,1121,7670,55725,56473,59399,65535,0,27568,,
1716378307,40,-1250,3084,9552,55253,56103,59076,65535,0,27374,,
1716378309,47,737,-2626,5721,64597,65535,65535,65535,0,34500,,
1716378311,43,2347,457,7531,61193,64435,65303,65535,0,34039,,
1716378313,54,-722,-5688,6123,65535,65535,65535,65535,0,34196,,
1716378315,54,-1179,-6832,4642,65535,65535,65535,65535,0,34196,,
1716378317,46,-2808,358,8855,56923,60152,63094,65535,0,30282,,
1716378318,47,-1317,1421,10074,61623,64037,65535,65535,0,33101,,
1716378320,44,-220,1843,10193,58697,59861,63599,65535,0,28877,,
1716378322,45,822,-473,12845,58586,60941,63565,65535,0,30643,,
1716378324,47,780,3589,10695,58189,62927,65081,65535,0,32797,,
1716378326,51,-515,-6368,5402,55517,59930,61845,65535,0,31302,,
1716378328,49,-647,-6821,4789,53191,56996,58786,65535,0,29665,,
1716378330,48,-726,-7058,4368,51297,54762,56489,65535,0,28435,,
1716378332,41,-991,-1002,8491,35013,35379,36558,65535,0,17716,,
1716378334,37,-872,-608,9819,51341,53199,56198,65535,0,26167,,
1716378336,41,211,614,8098,52947,55352,58413,65535,0,27423,,
1716378338,44,134,274,8801,60826,62765,65535,65535,0,31352,,
1716378340,43,448,969,8058,60439,62637,65535,65535,0,31276,,
1716378342,88,330,232,8172,64175,65535,65535,65535,0,34637,,
1716378344,49,416,207,8564,64945,65535,65535,65535,0,34387,,
1716378346,47,617,268,8447,63056,65535,65535,65535,0,35000,,
1716378348,48,657,324,8412,64342,65535,65535,65535,0,34583,,
1716378350,49,655,307,8425,65535,65535,65535,65535,0,34196,,
1716378352,49,697,293,8394,65535,65535,65535,65535,0,34196,,
1716378354,47,750,354,8405,65535,65535,65535,65535,0,34196,,
1716378356,47,792,470,8449,65535,65535,65535,65535,0,34196,,
1716378358,49,832,452,8448,65535,65535,65535,65535,0,34196,,
1716378360,47,790,447,8389,65535,65535,65535,65535,0,34196,,
1716378362,48,796,431,8381,65535,65535,65535,65535,0,34196,,
1716378364,46,780,463,8394,65535,65535,65535,65535,0,34196,,
1716378366,48,841,481,8401,65535,65535,65535,65535,0,34196,,
1716378368,47,804,494,8424,65535,65535,65535,65535,0,34196,,
1716378370,50,821,489,8390,65535,65535,65535,65535,0,34196,,
1716378372,49,824,505,8375,65535,65535,65535,65535,0,34196,,
1716378374,48,840,529,8372,65535,65535,65535,65535,0,34196,,
1716378376,46,843,550,8381,65535,65535,65535,65535,0,34196,,
1716378378,48,836,579,8398,65535,65535,65535,65535,0,34196,,
1716378380,72,1000,370,8598,65535,65535,65535,65535,0,34196,,
1716378382,48,642,1353,8472,65535,65535,65535,65535,0,34196,,
1716378384,54,-1210,-1819,7098,65535,65535,65535,65535,0,34196,,
1716378386,57,-1742,-3366,7560,65535,65535,65535,65535,0,34196,,
1716378388,48,485,1793,8279,65535,65535,65535,65535,0,34196,,
1716378390,44,-1178,-1939,8096,65535,65535,65535,65535,0,34196,,
1716378392,49,-1732,-3155,7611,57705,60966,63817,65535,0,30784,,
1716378394,49,-1991,-3773,7263,44242,46916,48618,65535,0,24103,,
1716378396,47,-2085,-3978,7112,40493,42452,44236,65535,0,21481,,
1716378398,49,-2173,-4181,6963,39171,41113,42955,65535,0,20735,,
1716378400,48,-2220,-4271,6886,37934,39689,41533,65535,0,19929,,
1716378402,50,-2263,-4381,6828,38674,40536,42390,65535,0,20399,,
1716378404,50,458,1717,8681,65535,65535,65535,65535,0,34196,,
1716378406,52,3443,-2454,6625,65535,65535,65535,65535,0,34196,,
1716378408,39,-2760,1030,7645,51107,51653,54631,65535,0,24950,,
1716378410,40,-2094,720,9143,59645,60333,63633,65535,0,29289,,
1716378412,46,246,-1706,7354,65535,65535,65535,65535,0,34196,,
1716378414,46,477,239,6804,63360,65535,65535,65535,0,34902,,
1716378416,48,257,-444,7969,64471,65535,65535,65535,0,34541,,
1716378418,48,75,-576,8383,64248,65535,65535,65535,0,34613,,
Connection lost
No serial device connected
USB device detected
Connected to CDC device
1716378428,51,-355,-1480,8364,62411,65535,65535,65535,0,35210,,
1716378430,52,-241,-1251,8382,62401,65535,65535,65535,0,35213,,
1716378432,49,-250,-1262,8370,62097,65535,65535,65535,0,35312,,
1716378434,50,-277,-1282,8277,61832,65535,65535,65535,0,35398,,
1716378436,49,-274,-1449,8402,61594,65535,65535,65535,0,35475,,
1716378438,51,-238,-1391,8311,61320,65535,65535,65535,0,35564,,
1716378440,52,-182,-1349,8407,61100,65535,65535,65535,0,35636,,
1716378442,50,-279,-1477,8356,60859,65535,65535,65535,0,35714,,
1716378444,50,-323,-1466,8329,60623,65325,65535,65535,0,35459,,
1716378446,52,-163,-1420,8228,60420,65201,65535,65535,0,35329,,
1716378448,50,-286,-1587,8230,60265,65115,65535,65535,0,35244,,
1716378450,52,-367,-1658,8288,60091,64978,65535,65535,0,35084,,
1716378452,51,-357,-1635,8266,59920,64759,65535,65535,0,34794,,
1716378454,50,180,-2283,8031,59670,64898,65535,65535,0,35094,,
1716378456,54,-1403,-4240,7141,50907,55722,57820,65535,0,29103,,
1716378458,49,-1841,-4809,6622,48037,52156,54317,65535,0,26970,,
1716378460,48,1360,659,8487,58112,62517,65535,65535,0,31842,,
1716378462,46,1772,706,8215,57183,61054,63459,65535,0,31354,,
1716378464,45,1807,535,8138,57389,61404,63809,65535,0,31583,,
1716378466,45,1660,449,8213,57467,61574,63993,65535,0,31692,,
1716378468,47,1613,389,8168,57502,61648,64089,65535,0,31727,,
1716378470,45,1581,434,8271,57484,61637,64085,65535,0,31718,,
1716378472,46,1491,381,8225,57525,61695,64160,65535,0,31742,,
1716378474,46,1493,288,8353,57594,61815,64284,65535,0,31818,,
1716378476,45,1290,273,8371,57748,62015,64527,65535,0,31906,,
1716378478,46,1727,307,8298,57619,61956,64348,65535,0,31985,,
1716378480,44,1724,-16,8178,58010,62650,64989,65535,0,32485,,
1716378482,48,1685,-141,8243,58139,62888,65212,65535,0,32655,,
1716378484,49,-232,-2468,7838,58060,63072,65303,65535,0,32905,,
Connection lost
Connected to CDC device
1716378486,46,669,-512,8376,59168,63832,65535,65535,0,33575,,
1716378488,49,586,-843,8379,59478,64412,65535,65535,0,34390,,
1716378490,50,-259,-67,8556,57209,60592,63317,65535,0,30720,,
1716378492,48,379,-1881,6761,48814,52964,54704,65535,0,27710,,
1716378494,50,977,-1440,8436,59488,64537,65535,65535,0,34584,,
1716378496,46,1135,-1591,7741,58549,63149,65535,65535,0,32698,,
1716378498,51,793,-1865,8437,59752,64873,65535,65535,0,35028,,
1716378500,54,1309,-2235,7987,62083,65535,65535,65535,0,35316,,
1716378502,54,1413,-2272,7998,62370,65535,65535,65535,0,35223,,
1716378504,53,1349,-2451,7888,62668,65535,65535,65535,0,35126,,
1716378506,54,1422,-2313,7855,62817,65535,65535,65535,0,35078,,
1716378508,55,1354,-2541,8014,63012,65535,65535,65535,0,35015,,
1716378510,56,1348,-2573,7916,63188,65535,65535,65535,0,34958,,
1716378512,55,1357,-2605,7942,63360,65535,65535,65535,0,34902,,
1716378514,56,1487,-2417,7954,63517,65535,65535,65535,0,34851,,
1716378516,56,1467,-2579,7875,63698,65535,65535,65535,0,34792,,
1716378518,56,1512,-2585,7892,63906,65535,65535,65535,0,34725,,
1716378520,55,1487,-2508,7886,64103,65535,65535,65535,0,34661,,
1716378522,55,1449,-2623,7901,64354,65535,65535,65535,0,34579,,
1716378524,56,1451,-2658,7938,64585,65535,65535,65535,0,34504,,
1716378526,55,1475,-2664,7837,64737,65535,65535,65535,0,34455,,
1716378528,59,1431,-2667,7841,64837,65535,65535,65535,0,34422,,
1716378530,48,1459,-2652,7860,64891,65535,65535,65535,0,34405,,
1716378532,55,1408,-2667,7818,64947,65535,65535,65535,0,34387,,
1716378534,57,1490,-2713,7739,65007,65535,65535,65535,0,34367,,
1716378536,56,1473,-2655,7803,65145,65535,65535,65535,0,34322,,
1716378538,55,1464,-2703,7789,65213,65535,65535,65535,0,34300,,
1716378540,56,1470,-2839,7835,65371,65535,65535,65535,0,34249,,
1716378542,59,1473,-2753,7764,65535,65535,65535,65535,0,34196,,
1716378544,59,1483,-2721,7868,65535,65535,65535,65535,0,34196,,
1716378546,56,1487,-2781,7913,65535,65535,65535,65535,0,34196,,
1716378548,63,1484,-2750,7795,65535,65535,65535,65535,0,34196,,
1716378550,56,1491,-2752,7875,65535,65535,65535,65535,0,34196,,
1716378552,55,916,-2241,8337,65535,65535,65535,65535,0,34196,,
1716378554,55,1360,-1770,8172,65535,65535,65535,65535,0,34196,,
1716378556,53,1375,-1889,8080,65535,65535,65535,65535,0,34196,,
1716378558,54,1374,-1947,8140,65535,65535,65535,65535,0,34196,,
1716378560,54,1358,-1896,8119,65535,65535,65535,65535,0,34196,,
1716378562,57,1355,-1848,8059,65535,65535,65535,65535,0,34196,,
1716378563,56,1321,-1924,8051,65535,65535,65535,65535,0,34196,,
1716378565,56,1345,-2044,8169,65535,65535,65535,65535,0,34196,,
1716378567,55,1359,-1966,8109,65535,65535,65535,65535,0,34196,,
1716378569,56,1349,-1977,8114,65535,65535,65535,65535,0,34196,,
1716378571,57,1340,-2020,8059,65535,65535,65535,65535,0,34196,,
1716378573,61,1313,-2002,8115,65535,65535,65535,65535,0,34196,,
1716378575,58,1330,-2025,8152,65535,65535,65535,65535,0,34196,,
1716378577,60,1308,-2056,8082,65535,65535,65535,65535,0,34196,,
1716378579,61,1307,-2079,8027,65535,65535,65535,65535,0,34196,,
1716378581,65,1283,-2056,8120,65535,65535,65535,65535,0,34196,,
1716378583,68,1353,-1522,8338,65535,65535,65535,65535,0,34196,,
1716378585,69,1231,-1818,8151,65535,65535,65535,65535,0,34196,,
1716378587,74,1007,-1488,8393,65535,65535,65535,65535,0,34196,,
1716378589,77,880,-1730,8188,65535,65535,65535,65535,0,34196,,
1716378591,78,958,-1445,8733,65535,65535,65535,65535,0,34196,,
1716378593,87,838,-1672,8309,65535,65535,65535,65535,0,34196,,
1716378595,77,750,-1969,8120,65535,65535,65535,65535,0,34196,,
1716378597,76,854,-2154,8095,65535,65535,65535,65535,0,34196,,
1716378599,69,871,-2159,8102,65535,65535,65535,65535,0,34196,,
1716378601,74,880,-2228,8163,65535,65535,65535,65535,0,34196,,
1716378604,73,885,-2306,8136,65535,65535,65535,65535,0,34196,,
1716378606,74,870,-2337,8104,65535,65535,65535,65535,0,34196,,
1716378608,73,853,-2431,8053,65535,65535,65535,65535,0,34196,,
1716378610,73,-817,-5001,6605,65535,65535,65535,65535,0,34196,,
Connection lost
USB device detected
Connected to CDC device
1716378610,39,-562,-8156,1271,65535,65535,65535,65535,0,34196,,
1716378612,33,-1140,-1245,-5084,31114,27020,26109,40075,3089,13436,,
1716378614,53,-373,1708,8292,65535,65535,65535,65535,0,34196,,
1716378616,50,-377,625,8397,65535,65535,65535,65535,0,34196,,
Connection lost
USB device detected
Connected to CDC device
1716378620,50,-700,-2612,7449,65535,65535,65535,65535,0,34196,,
1716378622,12,974,-749,8507,52014,52781,54125,65535,0,26806,,
1716378624,6,1157,-779,8391,45438,46470,47772,65535,0,23630,,
1716378626,7,1036,-694,8301,40441,41438,42681,65535,0,21036,,
1716378628,4,1282,-854,8303,37356,38452,39694,65535,0,19511,,
1716378630,4,1322,-813,8305,39701,41031,42420,65535,0,20825,,
1716378632,46,1494,-1130,8339,48775,51486,52669,65535,0,26879,,
1716378634,46,1143,-971,8254,56112,59878,61013,65535,0,31636,,
Connection lost
USB device detected
